id,display_name,aka,operators,manufacturer_country,role,propulsion,total_components_documented,primary_source_url,secondary_sources,image_url,last_verified,notes
bmd-4m-sadovnitsa-landing-combat-vehicle-with-the-combat-module-bakhcha-u,Bmd 4M Sadovnitsa Landing Combat Vehicle With The Combat Module Bakhcha U,[],"[""UNK""]",UNK,unknown,unknown,3,https://war-sanctions.gur.gov.ua/en/page-bmd-4m-sadovnitsa-landing-combat-vehicle-with-the-combat-module-bakhcha-u,[],,2026-06-13,Auto-registered from GUR component listing
combat-vehicle-bm-9a331m-tactical-anti-aircraft-missile-complex-tor-m2,Combat Vehicle Bm 9A331M Tactical Anti Aircraft Missile Complex Tor M2,[],"[""UNK""]",UNK,unknown,unknown,8,https://war-sanctions.gur.gov.ua/en/page-combat-vehicle-bm-9a331m-tactical-anti-aircraft-missile-complex-tor-m2,[],,2026-06-13,Auto-registered from GUR component listing
300-mm-9m549-tornado-s-mlrs,300 Mm 9M549 Tornado S Mlrs,[],"[""RU""]",RU,missile,unknown,4,https://war-sanctions.gur.gov.ua/en/page-300-mm-9m549-tornado-s-mlrs,[],,2026-06-13,Auto-registered from GUR component listing
missile-kh-101-580844502,Missile Kh-101 580844502,[],"[""RU""]",RU,missile,unknown,9,https://war-sanctions.gur.gov.ua/en/page-missile-kh-101-580844502,[],,2026-06-13,Auto-registered from GUR component listing
missile-iskander-k-april-2022,Missile Iskander K April 2022,[],"[""RU""]",RU,missile,unknown,35,https://war-sanctions.gur.gov.ua/en/page-missile-iskander-k-april-2022,[],,2026-06-13,Auto-registered from GUR component listing
electronic-computing-machine-baget-62-037-of-the-kh-101-missile,Electronic Computing Machine Baget 62 037 Of The Kh-101 Missile,[],"[""RU""]",RU,missile,unknown,62,https://war-sanctions.gur.gov.ua/en/page-electronic-computing-machine-baget-62-037-of-the-kh-101-missile,[],,2026-06-13,Auto-registered from GUR component listing
supercam-s350-uav,Supercam S350 UAV,[],"[""UNK""]",UNK,unknown,unknown,10,https://war-sanctions.gur.gov.ua/en/page-supercam-s350-uav,[],,2026-06-13,Auto-registered from GUR component listing
granat-3-uav,Granat 3 UAV,[],"[""RU""]",RU,isr,unknown,32,https://war-sanctions.gur.gov.ua/en/page-granat-3-uav,[],,2026-06-13,Auto-registered from GUR component listing
missile-3m-14-kalibr,Missile 3M 14 Kalibr,[],"[""RU""]",RU,missile,unknown,29,https://war-sanctions.gur.gov.ua/en/page-missile-3m-14-kalibr,[],,2026-06-13,Auto-registered from GUR component listing
satellite-navigation-equipment-14-821c,Satellite Navigation Equipment 14 821C,[],"[""UNK""]",UNK,unknown,unknown,11,https://war-sanctions.gur.gov.ua/en/page-satellite-navigation-equipment-14-821c,[],,2026-06-13,Auto-registered from GUR component listing
portable-radio-station-r-392-code-arakhis-35161090,Portable Radio Station R 392 Code Arakhis 35161090,[],"[""UNK""]",UNK,ew,unknown,12,https://war-sanctions.gur.gov.ua/en/page-portable-radio-station-r-392-code-arakhis-35161090,[],,2026-06-13,Auto-registered from GUR component listing
